"Plant.ID","Treatment","Population","TOE","Roi.Mask","Fv.Fm","Fq.Fm","NPQ","qP","qN","qL","qI","phiNO","phiNPQ","npq.t","ChlIdx","AriIdx","NDVI","comp"
"Tray06A_Mimiulus_B2_0.4","40%","J",543,3540.44366888988,0.788406631759244,0.116191495011967,0.998788678220796,0.186360241065929,0.600870613525426,0.0883895662275484,0.997423625555968,0.426589525930029,0.457825543855913,2.33295755900895,1.79837054005298,1.05340080294524,0.771393412758282,"40%"
"Tray06A_Mimiulus_B2_0.4","40%","J",555,3728.72305083738,0.793251353247281,0.115462984701241,1.02901365911363,0.185220985599916,0.607349819631142,0.0871570800409004,1.02729756476277,0.421618861584353,0.463020961293538,2.3024441218774,1.79646644281591,1.08829210225332,0.774412868993764,"40%"
"Tray06A_Mimiulus_B2_0.4","40%","J",567,3887.47341784304,0.794567565905613,0.11734778791594,0.947479046444412,0.185233994136482,0.583250227264481,0.0845248831965428,0.946161662751632,0.438711292539013,0.443911655219574,2.13707341070556,1.8217166807397,1.12793415226538,0.778476377268729,"40%"
"Tray06A_Mimiulus_B2_0.4","40%","J",579,4042.69288719282,0.789066623209734,0.125696441110034,0.989173341149781,0.200256613599565,0.594880543147634,0.0942979949379246,0.987428344098828,0.422764720185953,0.451529224819146,2.2406155132825,1.81563711397581,1.15318012862716,0.780514123283514,"40%"
"Tray06A_Mimiulus_B2_0.4","40%","J",591,4289.86582648749,0.787880381135532,0.117332566362243,0.878489934287288,0.185482577447663,0.569714790980077,0.0849232737308979,0.878267961858514,0.449203168206688,0.433465434521622,2.16846250781423,1.78483919649582,1.15420069526821,0.778406031577159,"40%"
"Tray06A_Mimiulus_B2_0.4","40%","J",603,4368.02656892352,0.797352204773754,0.0928000147267159,0.87162090811632,0.150160295793086,0.57236028990084,0.0703581808194313,0.871598780859842,0.481975348002364,0.425227798610824,2.41221170649389,1.63324304623534,1.08736732166578,0.767114904036595,"40%"
"Tray06A_Mimiulus_B2_0.4","40%","J",615,4455.14668214891,0.800363686981954,0.0754794748857699,0.652963022546141,0.125267615869295,0.496687366413366,0.0609406976726548,0.65200319841436,0.583300724972342,0.34122224662342,2.52489864192121,1.60880738286248,1.02478704841667,0.761246359662554,"40%"
"Tray06A_Mimiulus_B2_0.4","40%","J",627,4664.46374802954,0.795129732019145,0.0973455889768603,0.754432864360401,0.157710429381576,0.516400077313407,0.0750602268455957,0.752187494260699,0.528589916958308,0.374045799826959,2.33132951231106,1.73382274859285,1.02474853849876,0.768577257558333,"40%"
"Tray06A_Mimiulus_B2_0.4","40%","J",639,4803.95805259193,0.789092790557251,0.116140912841787,0.903302795242183,0.18373439775016,0.550402401485269,0.0844311595483868,0.899164249019706,0.463079794924439,0.420782930858141,2.08568881925441,1.81179682616581,1.12392373995488,0.780334799454262,"40%"
"Tray06A_Mimiulus_B2_0.4","40%","J",651,4707.19034862417,0.791954252964604,0.129494907838003,1.17751520852318,0.214114100994773,0.640237608793162,0.107961216699358,1.17071410736478,0.385836689534653,0.485004319679591,2.61543681036044,1.82777666843828,1.22212018044355,0.787953712897869,"40%"
